Archetype Name,Scryfall Tagger Category,Exact Tagger Tag,Scryfall Search Syntax,Tag Description
Vehicles,Core Mechanic,synergy-vehicle,otag:synergy-vehicle,Vehicle matters.
Vehicles,Core Mechanic,bring-your-own-crew,otag:bring-your-own-crew,Vehicles that come with pilots.
Vehicles,Core Mechanic,crewless-vehicle,otag:crewless-vehicle,Vehicles that animate without crewing.
Vehicles,Core Mechanic,alternative-crewing,otag:alternative-crewing,Alternate self-animation.
Vehicles,Payoff,animate-vehicle,otag:animate-vehicle,Turn vehicles into creatures without crew.
Vehicles,Payoff,animate-artifact,otag:animate-artifact,Animate artifacts including vehicles.
Vehicles,Enabler,impulse-artifact-vehicle,otag:impulse-artifact-vehicle,Impulse vehicles.
Vehicles,Synergy,reanimate-vehicle,otag:reanimate-vehicle,Recur vehicles.
Vehicles,Synergy,flicker-vehicle,otag:flicker-vehicle,Flicker vehicles.
Copy/Clone,Core Mechanic,clone,otag:clone,Clone creatures.
Copy/Clone,Core Mechanic,copy-creature,otag:copy-creature,Copy creatures.
Copy/Clone,Core Mechanic,copy-permanent,otag:copy-permanent,Copy permanents.
Copy/Clone,Core Mechanic,copy-spell,otag:copy-spell,Copy spells.
Copy/Clone,Core Mechanic,copy-self,otag:copy-self,Permanents that copy themselves / make copies of self.
Copy/Clone,Payoff,copy-token,otag:copy-token,Copy tokens.
Copy/Clone,Payoff,copy-legendary,otag:copy-legendary,Copy legendaries.
Copy/Clone,Payoff,polymorph,otag:polymorph,Polymorph effects.
Copy/Clone,Enabler,copy-instant,otag:copy-instant,Copy instants.
Copy/Clone,Enabler,copy-sorcery,otag:copy-sorcery,Copy sorceries.
Copy/Clone,Synergy,copy-artifact,otag:copy-artifact,Copy artifacts.
Copy/Clone,Synergy,copy-enchantment,otag:copy-enchantment,Copy enchantments.
Copy/Clone,Synergy,mirror-gallery,otag:mirror-gallery,Legend-rule bypass for copies.
Devotion,Core Mechanic,affinity-for-devotion,otag:affinity-for-devotion,Effects keyed to devotion.
Devotion,Payoff,mana-sink,otag:mana-sink,Spend mana produced by devotion engines.
Devotion,Enabler,mana-dork,otag:mana-dork,Colored pips for devotion.
Devotion,Enabler,mana-rock,otag:mana-rock,Rocks that still support the plan.
Devotion,Synergy,synergy-enchantment,otag:synergy-enchantment,Enchantments often carry colored pips.
Devotion,Synergy,cost-reducer,otag:cost-reducer,Cost reduction alongside devotion payoffs.
Cascade/Discover,Core Mechanic,gives-cascade,otag:gives-cascade,Grant cascade.
Cascade/Discover,Core Mechanic,synergy-cascade,otag:synergy-cascade,Cascade synergy.
Cascade/Discover,Core Mechanic,synergy-discover,otag:synergy-discover,Discover synergy.
Cascade/Discover,Payoff,gains-cascade,otag:gains-cascade,Permanents that gain cascade.
Cascade/Discover,Enabler,cost-reducer,otag:cost-reducer,Manipulate MV for cascade hits.
Cascade/Discover,Enabler,ritual,otag:ritual,Ritual into cascade spells.
Cascade/Discover,Synergy,cast-trigger-you,otag:cast-trigger-you,Cast triggers in cascade shells.
Big Mana / X Spells,Core Mechanic,mana-sink,otag:mana-sink,Spend large amounts of mana.
Big Mana / X Spells,Core Mechanic,bottomless-mana-sink,otag:bottomless-mana-sink,Arbitrary-mana sinks.
Big Mana / X Spells,Core Mechanic,mana-increaser,otag:mana-increaser,Mana doublers / increasers.
Big Mana / X Spells,Core Mechanic,ramp,otag:ramp,Acceleration into X spells.
Big Mana / X Spells,Payoff,burn-any,otag:burn-any,X burn.
Big Mana / X Spells,Enabler,mana-rock,otag:mana-rock,Rocks for big mana.
Big Mana / X Spells,Enabler,mana-dork,otag:mana-dork,Dorks for big mana.
Big Mana / X Spells,Enabler,land-ramp,otag:land-ramp,Land ramp into X.
Big Mana / X Spells,Enabler,ritual,otag:ritual,Ritual into X.
Big Mana / X Spells,Synergy,cost-reducer,otag:cost-reducer,Reduce X costs.
Sacrifice,Core Mechanic,synergy-sacrifice,otag:synergy-sacrifice,Sacrifice matters.
Sacrifice,Core Mechanic,sacrifice-outlet,otag:sacrifice-outlet,Sac outlets.
Sacrifice,Core Mechanic,free-sacrifice-outlet,otag:free-sacrifice-outlet,Free sac outlets.
Sacrifice,Core Mechanic,repeatable-sacrifice-outlet,otag:repeatable-sacrifice-outlet,Repeatable sac.
Sacrifice,Payoff,death-trigger,otag:death-trigger,Death triggers.
Sacrifice,Payoff,drain-life,otag:drain-life,Drain on sac/death.
Sacrifice,Enabler,martyr,otag:martyr,Self-sac creatures.
Sacrifice,Enabler,repeatable-creature-tokens,otag:repeatable-creature-tokens,Fodder.
Sacrifice,Win Condition,bombard,otag:bombard,Sac for damage.
Sacrifice,Synergy,plunder,otag:plunder,Sac for cards.
Party,Core Mechanic,synergy-party,otag:synergy-party,Party matters (alias: typal-party).
Party,Core Mechanic,affinity-for-party,otag:affinity-for-party,Affinity / cost care for party.
Party,Core Mechanic,multiclass-party-member,otag:multiclass-party-member,Creatures that fill multiple party roles.
Party,Payoff,anthem,otag:anthem,Party-wide buffs.
Party,Enabler,tutor,otag:tutor,Assemble the party.
Party,Synergy,typal-creature,otag:typal-creature,Typal care overlapping party classes.
Kindred / Typal Payoffs,Core Mechanic,typal-creature,otag:typal-creature,General creature-type matters.
Kindred / Typal Payoffs,Core Mechanic,anthem,otag:anthem,Lords / anthems (alias: lord).
Kindred / Typal Payoffs,Core Mechanic,changeling,otag:changeling,All creature types.
Kindred / Typal Payoffs,Payoff,warlord,otag:warlord,P/T = creature count.
Kindred / Typal Payoffs,Enabler,tutor,otag:tutor,Fetch tribal pieces.
Kindred / Typal Payoffs,Synergy,creaturefall,otag:creaturefall,ETB when creatures enter.
Kindred / Typal Payoffs,Synergy,affinity-for-tokens,otag:affinity-for-tokens,Often overlaps go-wide tribal.
Enchantments / Auras,Core Mechanic,synergy-enchantment,otag:synergy-enchantment,Enchantment matters.
Enchantments / Auras,Core Mechanic,synergy-aura,otag:synergy-aura,Aura matters.
Enchantments / Auras,Core Mechanic,enchantmentfall,otag:enchantmentfall,Constellation / enchantment ETB.
Enchantments / Auras,Payoff,parasitic-aura,otag:parasitic-aura,Auras that harm the enchanted permanent's controller.
Enchantments / Auras,Payoff,french-vanilla-aura,otag:french-vanilla-aura,Simple pump/keyword auras.
Enchantments / Auras,Enabler,tutor-enchantment,otag:tutor-enchantment,Enchantment tutors.
Enchantments / Auras,Enabler,tutor-enchantment-aura,otag:tutor-enchantment-aura,Aura tutors.
Enchantments / Auras,Enabler,tutor-aura-curse,otag:tutor-aura-curse,Curse tutors.
Enchantments / Auras,Synergy,synergy-curse,otag:synergy-curse,Curse synergies.
Enchantments / Auras,Synergy,copy-aura,otag:copy-aura,Copy auras.
Enchantments / Auras,Protection,protects-enchantment,otag:protects-enchantment,Protect enchantments.
Doubling / Copy Effects,Core Mechanic,token-doubler,otag:token-doubler,Double tokens created.
Doubling / Copy Effects,Core Mechanic,counter-increaser,otag:counter-increaser,Increase counters placed.
Doubling / Copy Effects,Core Mechanic,copy,otag:copy,Copy effects.
Doubling / Copy Effects,Core Mechanic,copy-token,otag:copy-token,Copy tokens.
Doubling / Copy Effects,Payoff,exponential,otag:exponential,Exponential growth effects.
Doubling / Copy Effects,Payoff,mana-increaser,otag:mana-increaser,Mana doubling.
Doubling / Copy Effects,Enabler,copy-permanent,otag:copy-permanent,Copy permanents.
Doubling / Copy Effects,Enabler,copy-spell,otag:copy-spell,Copy spells.
Doubling / Copy Effects,Synergy,synergy-token,otag:synergy-token,Token synergy with doublers.
Doubling / Copy Effects,Synergy,counters-matter,otag:counters-matter,Counters matter with increasers.
Monarch / Goad Politics,Core Mechanic,monarch-matters,otag:monarch-matters,Cards that care about the monarch.
Monarch / Goad Politics,Core Mechanic,synergy-goad,otag:synergy-goad,Goad synergy.
Monarch / Goad Politics,Payoff,group-slug,otag:group-slug,Multiplayer pressure.
Monarch / Goad Politics,Payoff,selective-group-hug,otag:selective-group-hug,Political hug.
Monarch / Goad Politics,Enabler,threaten,otag:threaten,Temporary control / goad-adjacent.
Monarch / Goad Politics,Synergy,pillowfort,otag:pillowfort,Stay safe while politics happen.
Monarch / Goad Politics,Synergy,combat-arbiter,otag:combat-arbiter,Limit attacks/blocks.
Tribal (Dragons),Core Mechanic,typal-dragon,otag:typal-dragon,Cards that care about Dragon creatures.
Tribal (Dragons),Tutor/Selection,tutor-creature-dragon,otag:tutor-creature-dragon,Tutors that specifically fetch Dragon cards.
Tribal (Dragons),Tutor/Selection,impulse-creature-dragon,otag:impulse-creature-dragon,Impulse-draw effects that can hit Dragon cards.
Tribal (Dragons),Tutor/Selection,seek-creature-dragon,otag:seek-creature-dragon,Seek effects that find Dragon cards.
Tribal (Dragons),Synergy,typal-elder-dragon,otag:typal-elder-dragon,Elder Dragon typal care.
Tribal (Dragons),Core Mechanic,anthem,otag:anthem,Lords and anthems that buff your creature type (Scryfall alias: lord).
Tribal (Dragons),Core Mechanic,typal-creature,otag:typal-creature,Cards that care about creature types in general.
Tribal (Dragons),Payoff,warlord,otag:warlord,Power/toughness equal to creature count — classic tribal finisher shape.
Tribal (Dragons),Enabler,changeling,otag:changeling,All-creature-types enablers that count for every typal payoff.
Tribal (Dragons),Tutor/Selection,tutor,otag:tutor,Generic tutors; combine with t:creature type filters in search.
Tribal (Dragons),Combat,gives-haste,otag:gives-haste,Haste enablers so tribal boards can attack immediately.
Tribal (Dragons),Combat,evasion,otag:evasion,Evasion keywords that help tribal armies connect.
Tribal (Dragons),Protection,gives-hexproof,otag:gives-hexproof,Hexproof grants protect key tribal pieces.
Tribal (Dragons),Protection,gives-indestructible,otag:gives-indestructible,Indestructible grants protect the board from wipes.
Tribal (Dragons),Synergy,creaturefall,otag:creaturefall,ETB-on-creature triggers common in go-wide tribal shells.
Tribal (Elves),Core Mechanic,typal-elf,otag:typal-elf,Cards that care about Elf creatures.
Tribal (Elves),Tutor/Selection,tutor-creature-elf,otag:tutor-creature-elf,Tutors that specifically fetch Elf cards.
Tribal (Elves),Tutor/Selection,impulse-creature-elf,otag:impulse-creature-elf,Impulse-draw effects that can hit Elf cards.
Tribal (Elves),Tutor/Selection,seek-creature-elf,otag:seek-creature-elf,Seek effects that find Elf cards.
Tribal (Elves),Core Mechanic,anthem,otag:anthem,Lords and anthems that buff your creature type (Scryfall alias: lord).
Tribal (Elves),Core Mechanic,typal-creature,otag:typal-creature,Cards that care about creature types in general.
Tribal (Elves),Payoff,warlord,otag:warlord,Power/toughness equal to creature count — classic tribal finisher shape.
Tribal (Elves),Enabler,changeling,otag:changeling,All-creature-types enablers that count for every typal payoff.
Tribal (Elves),Tutor/Selection,tutor,otag:tutor,Generic tutors; combine with t:creature type filters in search.
Tribal (Elves),Combat,gives-haste,otag:gives-haste,Haste enablers so tribal boards can attack immediately.
Tribal (Elves),Combat,evasion,otag:evasion,Evasion keywords that help tribal armies connect.
Tribal (Elves),Protection,gives-hexproof,otag:gives-hexproof,Hexproof grants protect key tribal pieces.
Tribal (Elves),Protection,gives-indestructible,otag:gives-indestructible,Indestructible grants protect the board from wipes.
Tribal (Elves),Synergy,creaturefall,otag:creaturefall,ETB-on-creature triggers common in go-wide tribal shells.
Tribal (Goblins),Core Mechanic,typal-goblin,otag:typal-goblin,Cards that care about Goblin creatures.
Tribal (Goblins),Tutor/Selection,tutor-creature-goblin,otag:tutor-creature-goblin,Tutors that specifically fetch Goblin cards.
Tribal (Goblins),Tutor/Selection,impulse-creature-goblin,otag:impulse-creature-goblin,Impulse-draw effects that can hit Goblin cards.
Tribal (Goblins),Synergy,typal-goblin-orc,otag:typal-goblin-orc,Goblin/Orc typal overlap.
Tribal (Goblins),Core Mechanic,anthem,otag:anthem,Lords and anthems that buff your creature type (Scryfall alias: lord).
Tribal (Goblins),Core Mechanic,typal-creature,otag:typal-creature,Cards that care about creature types in general.
Tribal (Goblins),Payoff,warlord,otag:warlord,Power/toughness equal to creature count — classic tribal finisher shape.
Tribal (Goblins),Enabler,changeling,otag:changeling,All-creature-types enablers that count for every typal payoff.
Tribal (Goblins),Tutor/Selection,tutor,otag:tutor,Generic tutors; combine with t:creature type filters in search.
Tribal (Goblins),Combat,gives-haste,otag:gives-haste,Haste enablers so tribal boards can attack immediately.
Tribal (Goblins),Combat,evasion,otag:evasion,Evasion keywords that help tribal armies connect.
Tribal (Goblins),Protection,gives-hexproof,otag:gives-hexproof,Hexproof grants protect key tribal pieces.
Tribal (Goblins),Protection,gives-indestructible,otag:gives-indestructible,Indestructible grants protect the board from wipes.
Tribal (Goblins),Synergy,creaturefall,otag:creaturefall,ETB-on-creature triggers common in go-wide tribal shells.
Tribal (Humans),Core Mechanic,typal-human,otag:typal-human,Cards that care about Human creatures.
Tribal (Humans),Tutor/Selection,impulse-creature-human,otag:impulse-creature-human,Impulse-draw effects that can hit Human cards.
Tribal (Humans),Payoff,affinity-for-humans,otag:affinity-for-humans,Cost reduction / affinity for Humans.
Tribal (Humans),Synergy,typal-non-human,otag:typal-non-human,Effects that care about non-Humans (hate / mirror).
Tribal (Humans),Core Mechanic,anthem,otag:anthem,Lords and anthems that buff your creature type (Scryfall alias: lord).
Tribal (Humans),Core Mechanic,typal-creature,otag:typal-creature,Cards that care about creature types in general.
Tribal (Humans),Payoff,warlord,otag:warlord,Power/toughness equal to creature count — classic tribal finisher shape.
Tribal (Humans),Enabler,changeling,otag:changeling,All-creature-types enablers that count for every typal payoff.
Tribal (Humans),Tutor/Selection,tutor,otag:tutor,Generic tutors; combine with t:creature type filters in search.
Tribal (Humans),Combat,gives-haste,otag:gives-haste,Haste enablers so tribal boards can attack immediately.
Tribal (Humans),Combat,evasion,otag:evasion,Evasion keywords that help tribal armies connect.
Tribal (Humans),Protection,gives-hexproof,otag:gives-hexproof,Hexproof grants protect key tribal pieces.
Tribal (Humans),Protection,gives-indestructible,otag:gives-indestructible,Indestructible grants protect the board from wipes.
Tribal (Humans),Synergy,creaturefall,otag:creaturefall,ETB-on-creature triggers common in go-wide tribal shells.
Tribal (Merfolk),Core Mechanic,typal-merfolk,otag:typal-merfolk,Cards that care about Merfolk creatures.
Tribal (Merfolk),Tutor/Selection,tutor-creature-merfolk,otag:tutor-creature-merfolk,Tutors that specifically fetch Merfolk cards.
Tribal (Merfolk),Tutor/Selection,impulse-creature-merfolk,otag:impulse-creature-merfolk,Impulse-draw effects that can hit Merfolk cards.
Tribal (Merfolk),Tutor/Selection,seek-creature-merfolk,otag:seek-creature-merfolk,Seek effects that find Merfolk cards.
Tribal (Merfolk),Core Mechanic,anthem,otag:anthem,Lords and anthems that buff your creature type (Scryfall alias: lord).
Tribal (Merfolk),Core Mechanic,typal-creature,otag:typal-creature,Cards that care about creature types in general.
Tribal (Merfolk),Payoff,warlord,otag:warlord,Power/toughness equal to creature count — classic tribal finisher shape.
Tribal (Merfolk),Enabler,changeling,otag:changeling,All-creature-types enablers that count for every typal payoff.
Tribal (Merfolk),Tutor/Selection,tutor,otag:tutor,Generic tutors; combine with t:creature type filters in search.
Tribal (Merfolk),Combat,gives-haste,otag:gives-haste,Haste enablers so tribal boards can attack immediately.
Tribal (Merfolk),Combat,evasion,otag:evasion,Evasion keywords that help tribal armies connect.
Tribal (Merfolk),Protection,gives-hexproof,otag:gives-hexproof,Hexproof grants protect key tribal pieces.
Tribal (Merfolk),Protection,gives-indestructible,otag:gives-indestructible,Indestructible grants protect the board from wipes.
Tribal (Merfolk),Synergy,creaturefall,otag:creaturefall,ETB-on-creature triggers common in go-wide tribal shells.
Tribal (Slivers),Core Mechanic,typal-sliver,otag:typal-sliver,Cards that care about Sliver creatures.
Tribal (Slivers),Tutor/Selection,tutor-creature-sliver,otag:tutor-creature-sliver,Tutors that specifically fetch Sliver cards.
Tribal (Slivers),Payoff,affinity-for-slivers,otag:affinity-for-slivers,Cost reduction / affinity for Slivers.
Tribal (Slivers),Payoff,sliver-stackable,otag:sliver-stackable,Sliver abilities that stack with multiples.
Tribal (Slivers),Core Mechanic,anthem,otag:anthem,Lords and anthems that buff your creature type (Scryfall alias: lord).
Tribal (Slivers),Core Mechanic,typal-creature,otag:typal-creature,Cards that care about creature types in general.
Tribal (Slivers),Payoff,warlord,otag:warlord,Power/toughness equal to creature count — classic tribal finisher shape.
Tribal (Slivers),Enabler,changeling,otag:changeling,All-creature-types enablers that count for every typal payoff.
Tribal (Slivers),Tutor/Selection,tutor,otag:tutor,Generic tutors; combine with t:creature type filters in search.
Tribal (Slivers),Combat,gives-haste,otag:gives-haste,Haste enablers so tribal boards can attack immediately.
Tribal (Slivers),Combat,evasion,otag:evasion,Evasion keywords that help tribal armies connect.
Tribal (Slivers),Protection,gives-hexproof,otag:gives-hexproof,Hexproof grants protect key tribal pieces.
Tribal (Slivers),Protection,gives-indestructible,otag:gives-indestructible,Indestructible grants protect the board from wipes.
Tribal (Slivers),Synergy,creaturefall,otag:creaturefall,ETB-on-creature triggers common in go-wide tribal shells.
Tribal (Vampires),Core Mechanic,typal-vampire,otag:typal-vampire,Cards that care about Vampire creatures.
Tribal (Vampires),Tutor/Selection,tutor-creature-vampire,otag:tutor-creature-vampire,Tutors that specifically fetch Vampire cards.
Tribal (Vampires),Tutor/Selection,seek-creature-vampire,otag:seek-creature-vampire,Seek effects that find Vampire cards.
Tribal (Vampires),Core Mechanic,anthem,otag:anthem,Lords and anthems that buff your creature type (Scryfall alias: lord).
Tribal (Vampires),Core Mechanic,typal-creature,otag:typal-creature,Cards that care about creature types in general.
Tribal (Vampires),Payoff,warlord,otag:warlord,Power/toughness equal to creature count — classic tribal finisher shape.
Tribal (Vampires),Enabler,changeling,otag:changeling,All-creature-types enablers that count for every typal payoff.
Tribal (Vampires),Tutor/Selection,tutor,otag:tutor,Generic tutors; combine with t:creature type filters in search.
Tribal (Vampires),Combat,gives-haste,otag:gives-haste,Haste enablers so tribal boards can attack immediately.
Tribal (Vampires),Combat,evasion,otag:evasion,Evasion keywords that help tribal armies connect.
Tribal (Vampires),Protection,gives-hexproof,otag:gives-hexproof,Hexproof grants protect key tribal pieces.
Tribal (Vampires),Protection,gives-indestructible,otag:gives-indestructible,Indestructible grants protect the board from wipes.
Tribal (Vampires),Synergy,creaturefall,otag:creaturefall,ETB-on-creature triggers common in go-wide tribal shells.
Tribal (Wizards),Core Mechanic,typal-wizard,otag:typal-wizard,Cards that care about Wizard creatures.
Tribal (Wizards),Tutor/Selection,tutor-creature-wizard,otag:tutor-creature-wizard,Tutors that specifically fetch Wizard cards.
Tribal (Wizards),Core Mechanic,anthem,otag:anthem,Lords and anthems that buff your creature type (Scryfall alias: lord).
Tribal (Wizards),Core Mechanic,typal-creature,otag:typal-creature,Cards that care about creature types in general.
Tribal (Wizards),Payoff,warlord,otag:warlord,Power/toughness equal to creature count — classic tribal finisher shape.
Tribal (Wizards),Enabler,changeling,otag:changeling,All-creature-types enablers that count for every typal payoff.
Tribal (Wizards),Tutor/Selection,tutor,otag:tutor,Generic tutors; combine with t:creature type filters in search.
Tribal (Wizards),Combat,gives-haste,otag:gives-haste,Haste enablers so tribal boards can attack immediately.
Tribal (Wizards),Combat,evasion,otag:evasion,Evasion keywords that help tribal armies connect.
Tribal (Wizards),Protection,gives-hexproof,otag:gives-hexproof,Hexproof grants protect key tribal pieces.
Tribal (Wizards),Protection,gives-indestructible,otag:gives-indestructible,Indestructible grants protect the board from wipes.
Tribal (Wizards),Synergy,creaturefall,otag:creaturefall,ETB-on-creature triggers common in go-wide tribal shells.
Tribal (Zombies),Core Mechanic,typal-zombie,otag:typal-zombie,Cards that care about Zombie creatures.
Tribal (Zombies),Tutor/Selection,tutor-creature-zombie,otag:tutor-creature-zombie,Tutors that specifically fetch Zombie cards.
Tribal (Zombies),Tutor/Selection,impulse-creature-zombie,otag:impulse-creature-zombie,Impulse-draw effects that can hit Zombie cards.
Tribal (Zombies),Core Mechanic,anthem,otag:anthem,Lords and anthems that buff your creature type (Scryfall alias: lord).
Tribal (Zombies),Core Mechanic,typal-creature,otag:typal-creature,Cards that care about creature types in general.
Tribal (Zombies),Payoff,warlord,otag:warlord,Power/toughness equal to creature count — classic tribal finisher shape.
Tribal (Zombies),Enabler,changeling,otag:changeling,All-creature-types enablers that count for every typal payoff.
Tribal (Zombies),Tutor/Selection,tutor,otag:tutor,Generic tutors; combine with t:creature type filters in search.
Tribal (Zombies),Combat,gives-haste,otag:gives-haste,Haste enablers so tribal boards can attack immediately.
Tribal (Zombies),Combat,evasion,otag:evasion,Evasion keywords that help tribal armies connect.
Tribal (Zombies),Protection,gives-hexproof,otag:gives-hexproof,Hexproof grants protect key tribal pieces.
Tribal (Zombies),Protection,gives-indestructible,otag:gives-indestructible,Indestructible grants protect the board from wipes.
Tribal (Zombies),Synergy,creaturefall,otag:creaturefall,ETB-on-creature triggers common in go-wide tribal shells.
Tribal (Angels),Core Mechanic,typal-angel,otag:typal-angel,Cards that care about Angel creatures.
Tribal (Angels),Tutor/Selection,impulse-creature-angel,otag:impulse-creature-angel,Impulse-draw effects that can hit Angel cards.
Tribal (Angels),Core Mechanic,anthem,otag:anthem,Lords and anthems that buff your creature type (Scryfall alias: lord).
Tribal (Angels),Core Mechanic,typal-creature,otag:typal-creature,Cards that care about creature types in general.
Tribal (Angels),Payoff,warlord,otag:warlord,Power/toughness equal to creature count — classic tribal finisher shape.
Tribal (Angels),Enabler,changeling,otag:changeling,All-creature-types enablers that count for every typal payoff.
Tribal (Angels),Tutor/Selection,tutor,otag:tutor,Generic tutors; combine with t:creature type filters in search.
Tribal (Angels),Combat,gives-haste,otag:gives-haste,Haste enablers so tribal boards can attack immediately.
Tribal (Angels),Combat,evasion,otag:evasion,Evasion keywords that help tribal armies connect.
Tribal (Angels),Protection,gives-hexproof,otag:gives-hexproof,Hexproof grants protect key tribal pieces.
Tribal (Angels),Protection,gives-indestructible,otag:gives-indestructible,Indestructible grants protect the board from wipes.
Tribal (Angels),Synergy,creaturefall,otag:creaturefall,ETB-on-creature triggers common in go-wide tribal shells.
Tribal (Demons),Core Mechanic,typal-demon,otag:typal-demon,Cards that care about Demon creatures.
Tribal (Demons),Tutor/Selection,tutor-creature-demon,otag:tutor-creature-demon,Tutors that specifically fetch Demon cards.
Tribal (Demons),Tutor/Selection,impulse-creature-demon,otag:impulse-creature-demon,Impulse-draw effects that can hit Demon cards.
Tribal (Demons),Core Mechanic,anthem,otag:anthem,Lords and anthems that buff your creature type (Scryfall alias: lord).
Tribal (Demons),Core Mechanic,typal-creature,otag:typal-creature,Cards that care about creature types in general.
Tribal (Demons),Payoff,warlord,otag:warlord,Power/toughness equal to creature count — classic tribal finisher shape.
Tribal (Demons),Enabler,changeling,otag:changeling,All-creature-types enablers that count for every typal payoff.
Tribal (Demons),Tutor/Selection,tutor,otag:tutor,Generic tutors; combine with t:creature type filters in search.
Tribal (Demons),Combat,gives-haste,otag:gives-haste,Haste enablers so tribal boards can attack immediately.
Tribal (Demons),Combat,evasion,otag:evasion,Evasion keywords that help tribal armies connect.
Tribal (Demons),Protection,gives-hexproof,otag:gives-hexproof,Hexproof grants protect key tribal pieces.
Tribal (Demons),Protection,gives-indestructible,otag:gives-indestructible,Indestructible grants protect the board from wipes.
Tribal (Demons),Synergy,creaturefall,otag:creaturefall,ETB-on-creature triggers common in go-wide tribal shells.
Tribal (Cats),Core Mechanic,typal-cat,otag:typal-cat,Cards that care about Cat creatures.
Tribal (Cats),Payoff,affinity-for-cats,otag:affinity-for-cats,Cost reduction / affinity for Cats.
Tribal (Cats),Core Mechanic,anthem,otag:anthem,Lords and anthems that buff your creature type (Scryfall alias: lord).
Tribal (Cats),Core Mechanic,typal-creature,otag:typal-creature,Cards that care about creature types in general.
Tribal (Cats),Payoff,warlord,otag:warlord,Power/toughness equal to creature count — classic tribal finisher shape.
Tribal (Cats),Enabler,changeling,otag:changeling,All-creature-types enablers that count for every typal payoff.
Tribal (Cats),Tutor/Selection,tutor,otag:tutor,Generic tutors; combine with t:creature type filters in search.
Tribal (Cats),Combat,gives-haste,otag:gives-haste,Haste enablers so tribal boards can attack immediately.
Tribal (Cats),Combat,evasion,otag:evasion,Evasion keywords that help tribal armies connect.
Tribal (Cats),Protection,gives-hexproof,otag:gives-hexproof,Hexproof grants protect key tribal pieces.
Tribal (Cats),Protection,gives-indestructible,otag:gives-indestructible,Indestructible grants protect the board from wipes.
Tribal (Cats),Synergy,creaturefall,otag:creaturefall,ETB-on-creature triggers common in go-wide tribal shells.
Tribal (Rats),Core Mechanic,typal-rat,otag:typal-rat,Cards that care about Rat creatures.
Tribal (Rats),Tutor/Selection,tutor-creature-rat,otag:tutor-creature-rat,Tutors that specifically fetch Rat cards.
Tribal (Rats),Tutor/Selection,impulse-creature-rat,otag:impulse-creature-rat,Impulse-draw effects that can hit Rat cards.
Tribal (Rats),Tutor/Selection,seek-creature-rat,otag:seek-creature-rat,Seek effects that find Rat cards.
Tribal (Rats),Core Mechanic,anthem,otag:anthem,Lords and anthems that buff your creature type (Scryfall alias: lord).
Tribal (Rats),Core Mechanic,typal-creature,otag:typal-creature,Cards that care about creature types in general.
Tribal (Rats),Payoff,warlord,otag:warlord,Power/toughness equal to creature count — classic tribal finisher shape.
Tribal (Rats),Enabler,changeling,otag:changeling,All-creature-types enablers that count for every typal payoff.
Tribal (Rats),Tutor/Selection,tutor,otag:tutor,Generic tutors; combine with t:creature type filters in search.
Tribal (Rats),Combat,gives-haste,otag:gives-haste,Haste enablers so tribal boards can attack immediately.
Tribal (Rats),Combat,evasion,otag:evasion,Evasion keywords that help tribal armies connect.
Tribal (Rats),Protection,gives-hexproof,otag:gives-hexproof,Hexproof grants protect key tribal pieces.
Tribal (Rats),Protection,gives-indestructible,otag:gives-indestructible,Indestructible grants protect the board from wipes.
Tribal (Rats),Synergy,creaturefall,otag:creaturefall,ETB-on-creature triggers common in go-wide tribal shells.
Tribal (Pirates),Core Mechanic,typal-pirate,otag:typal-pirate,Cards that care about Pirate creatures.
Tribal (Pirates),Tutor/Selection,tutor-creature-pirate,otag:tutor-creature-pirate,Tutors that specifically fetch Pirate cards.
Tribal (Pirates),Tutor/Selection,impulse-creature-pirate,otag:impulse-creature-pirate,Impulse-draw effects that can hit Pirate cards.
Tribal (Pirates),Tutor/Selection,seek-creature-pirate,otag:seek-creature-pirate,Seek effects that find Pirate cards.
Tribal (Pirates),Core Mechanic,anthem,otag:anthem,Lords and anthems that buff your creature type (Scryfall alias: lord).
Tribal (Pirates),Core Mechanic,typal-creature,otag:typal-creature,Cards that care about creature types in general.
Tribal (Pirates),Payoff,warlord,otag:warlord,Power/toughness equal to creature count — classic tribal finisher shape.
Tribal (Pirates),Enabler,changeling,otag:changeling,All-creature-types enablers that count for every typal payoff.
Tribal (Pirates),Tutor/Selection,tutor,otag:tutor,Generic tutors; combine with t:creature type filters in search.
Tribal (Pirates),Combat,gives-haste,otag:gives-haste,Haste enablers so tribal boards can attack immediately.
Tribal (Pirates),Combat,evasion,otag:evasion,Evasion keywords that help tribal armies connect.
Tribal (Pirates),Protection,gives-hexproof,otag:gives-hexproof,Hexproof grants protect key tribal pieces.
Tribal (Pirates),Protection,gives-indestructible,otag:gives-indestructible,Indestructible grants protect the board from wipes.
Tribal (Pirates),Synergy,creaturefall,otag:creaturefall,ETB-on-creature triggers common in go-wide tribal shells.
Tribal (Dinosaurs),Core Mechanic,typal-dinosaur,otag:typal-dinosaur,Cards that care about Dinosaur creatures.
Tribal (Dinosaurs),Tutor/Selection,tutor-creature-dinosaur,otag:tutor-creature-dinosaur,Tutors that specifically fetch Dinosaur cards.
Tribal (Dinosaurs),Tutor/Selection,impulse-creature-dinosaur,otag:impulse-creature-dinosaur,Impulse-draw effects that can hit Dinosaur cards.
Tribal (Dinosaurs),Core Mechanic,anthem,otag:anthem,Lords and anthems that buff your creature type (Scryfall alias: lord).
